// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
16803	0	8.528382	-0.011849	5.453349	0.000000	-0.000000	10.433048	0.032036	0.013350	0.017232	-0.324463	0.093018	-0.788574	0.170582	-0.000243	0.109044	1.000000	0.000320	0.000133	0.000172	0.527445	-0.109068	0.842559	0.204336	0.978900	-0.001198	-0.824650	0.172797	0.538603
16804	0	8.542344	-0.044249	5.400731	0.000000	-0.000000	0.293820	0.026923	0.025153	0.013557	-0.324707	0.099609	-0.786621	0.085430	-0.000444	0.053997	1.000000	0.000135	0.000126	0.000068	0.522913	-0.109685	0.845300	0.212085	0.977241	-0.004393	-0.825580	0.181573	0.534275
16805	0	8.541082	-0.043784	5.402731	0.025984	-0.027097	0.293751	0.026306	0.021400	0.009208	-0.324463	0.095215	-0.781738	0.085417	-0.000441	0.054018	1.000000	0.000132	0.000107	0.000046	0.525836	-0.110270	0.843408	0.208641	0.977990	-0.002215	-0.824600	0.177134	0.537269
16806	0	8.585374	-0.025643	5.379870	0.073923	-0.019613	0.318772	0.027630	0.022784	0.004352	-0.320068	0.097412	-0.793457	0.085860	-0.000262	0.053789	1.000000	0.000138	0.000114	0.000022	0.526033	-0.110267	0.843285	0.208390	0.978044	-0.002103	-0.824538	0.176839	0.537462
16807	0	8.580377	-0.069034	5.439699	0.014710	-0.052289	0.346791	0.025978	0.016318	0.006578	-0.324707	0.099609	-0.784180	0.085808	-0.000695	0.054390	1.000000	0.000130	0.000082	0.000033	0.526185	-0.110232	0.843195	0.208142	0.978097	-0.002021	-0.824504	0.176567	0.537603
16808	0	8.614275	-0.029413	5.411281	0.065504	-0.023626	0.360007	0.023580	0.013538	0.000525	-0.320068	0.099609	-0.784180	0.086146	-0.000300	0.054107	1.000000	0.000118	0.000068	0.000003	0.526297	-0.110250	0.843123	0.207944	0.978139	-0.001898	-0.824482	0.176322	0.537718
16809	0	8.624057	-0.049572	5.417854	0.062627	-0.044784	0.371812	0.019649	0.023524	-0.000585	-0.324707	0.099609	-0.784180	0.086247	-0.000501	0.054168	1.000000	0.000098	0.000118	-0.000003	0.526488	-0.110296	0.842998	0.207785	0.978173	-0.001789	-0.824400	0.176105	0.537914
16810	0	8.564477	-0.039779	5.463790	-0.002175	-0.022145	0.346267	0.016764	0.029080	-0.001215	-0.327148	0.101807	-0.784424	0.085653	-0.000403	0.054625	1.000000	0.000084	0.000145	-0.000006	0.526726	-0.110359	0.842841	0.207654	0.978201	-0.001689	-0.824282	0.175908	0.538160
16811	0	8.523196	-0.016316	5.409006	0.028812	-0.005846	0.281946	0.016416	0.030557	-0.001377	-0.317627	0.093018	-0.786377	0.085240	-0.000168	0.054077	1.000000	0.000082	0.000153	-0.000007	0.526971	-0.110422	0.842680	0.207526	0.978228	-0.001592	-0.824157	0.175717	0.538413
16812	0	8.506763	-0.038439	5.464780	-0.027589	-0.017349	0.298161	0.013370	0.030001	0.000208	-0.319824	0.093018	-0.788574	0.085076	-0.000388	0.054635	1.000000	0.000067	0.000150	0.000001	0.527218	-0.110473	0.842518	0.207414	0.978252	-0.001522	-0.824027	0.175553	0.538666
