// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
09221	0	8.200128	0.100510	5.939622	-0.035825	0.007678	0.313021	0.006319	0.005061	0.001860	-0.289795	0.073486	-0.804199	0.082003	0.001004	0.059394	1.000000	0.000032	0.000025	0.000009	0.572641	-0.113369	0.811930	0.180765	0.983477	0.009831	-0.799629	0.141139	0.583672
09222	0	8.204357	0.121663	5.896299	0.005670	0.021601	0.291377	0.005289	0.007921	0.002329	-0.292236	0.075684	-0.799561	0.082046	0.001216	0.058960	1.000000	0.000026	0.000040	0.000012	0.572708	-0.113357	0.811884	0.180709	0.983487	0.009843	-0.799593	0.141078	0.583736
09223	0	8.236535	0.096689	5.861248	0.048535	-0.011860	0.296793	0.004853	0.009707	0.000993	-0.287598	0.073486	-0.806396	0.082368	0.000966	0.058609	1.000000	0.000024	0.000049	0.000005	0.572794	-0.113360	0.811823	0.180665	0.983495	0.009861	-0.799542	0.141020	0.583821
09224	0	8.286856	0.094497	5.893382	0.052099	-0.015472	0.356379	0.003819	0.007481	0.002050	-0.294434	0.073242	-0.804199	0.082871	0.000945	0.058931	1.000000	0.000019	0.000037	0.000010	0.572858	-0.113350	0.811779	0.180623	0.983503	0.009866	-0.799506	0.140974	0.583881
09225	0	8.271058	0.112387	5.901147	0.041020	0.004792	0.348261	0.006684	0.013092	0.003588	-0.294678	0.080078	-0.804443	0.082714	0.001123	0.059006	1.000000	0.000033	0.000065	0.000018	0.572964	-0.113330	0.811707	0.180548	0.983517	0.009873	-0.799446	0.140896	0.583981
09226	0	8.302874	0.087421	5.866638	0.083804	-0.028681	0.353676	0.008671	0.017188	0.003042	-0.289551	0.068848	-0.799316	0.083034	0.000873	0.058659	1.000000	0.000043	0.000086	0.000015	0.573107	-0.113324	0.811607	0.180462	0.983532	0.009899	-0.799363	0.140791	0.584120
09227	0	8.299573	0.077131	5.889948	0.062805	-0.035555	0.364500	0.005732	0.016309	0.002485	-0.294678	0.080078	-0.806641	0.083001	0.000771	0.058893	1.000000	0.000029	0.000082	0.000012	0.573222	-0.113316	0.811527	0.180402	0.983543	0.009908	-0.799295	0.140721	0.584231
09228	0	8.277173	0.054194	5.905211	0.035410	-0.054300	0.354999	0.012879	0.021360	-0.002168	-0.292236	0.075684	-0.797363	0.082778	0.000537	0.059043	1.000000	0.000064	0.000107	-0.000011	0.573389	-0.113367	0.811402	0.180311	0.983559	0.010001	-0.799195	0.140570	0.584403
09229	0	8.278183	0.065205	5.885128	0.055761	-0.047100	0.344181	0.008080	0.023351	0.004254	-0.290039	0.075684	-0.806641	0.082789	0.000651	0.058842	1.000000	0.000040	0.000117	0.000021	0.573551	-0.113340	0.811291	0.180224	0.983575	0.009998	-0.799099	0.140480	0.584557
09230	0	8.223705	0.057288	5.877470	0.031452	-0.050451	0.295415	0.010142	0.022716	0.002728	-0.291992	0.073486	-0.808838	0.082244	0.000571	0.058765	1.000000	0.000051	0.000114	0.000014	0.573737	-0.113345	0.811159	0.180127	0.983592	0.010035	-0.798987	0.140354	0.584740
09231	0	8.224892	0.068201	5.857150	0.051696	-0.043131	0.284598	0.010732	0.016554	0.001515	-0.287598	0.075684	-0.794922	0.082254	0.000679	0.058565	1.000000	0.000054	0.000083	0.000008	0.573832	-0.113324	0.811095	0.180032	0.983609	0.010059	-0.798940	0.140251	0.584828
09232	0	8.167573	0.059963	5.929774	-0.039230	-0.035364	0.280492	0.011246	0.015124	0.001281	-0.289795	0.073486	-0.799561	0.081680	0.000597	0.059292	1.000000	0.000056	0.000076	0.000006	0.573955	-0.113333	0.811006	0.179935	0.983627	0.010114	-0.798874	0.140123	0.584950
09233	0	8.188171	0.083833	5.917047	-0.012269	-0.016172	0.289995	0.008224	0.008803	0.002884	-0.285156	0.071289	-0.797119	0.081884	0.000837	0.059167	1.000000	0.000041	0.000044	0.000014	0.573996	-0.113280	0.810985	0.179850	0.983642	0.010103	-0.798863	0.140056	0.584980
09234	0	8.171029	0.081590	5.887615	0.001837	-0.020997	0.258853	0.009693	0.009243	0.003163	-0.291992	0.073486	-0.806396	0.081713	0.000814	0.058872	1.000000	0.000048	0.000046	0.000016	0.574075	-0.113262	0.810931	0.179755	0.983659	0.010134	-0.798828	0.139951	0.585054
